x,y
1969,1023
2106,1105
598,1056
2515,868
2702,1209
2163,1110
630,899
2307,871
2518,1209
2053,1126
2931,1164
2339,779
1856,723
162,1347
1997,852
2571,702
2282,838
2353,1077
1743,918
2067,908
147,1206
440,1075
746,955
2300,1030
2001,1122
285,1007
183,988
3005,1209
2346,903
1976,1371
84,1319
2198,835
567,1077
348,953
2451,744
2346,1216
2575,802
2180,1011
1800,845
2085,1223
183,866
602,960
2060,1089
243,915
2828,1230
130,1476
91,1425
2790,887
2025,805
197,1392
2871,1364
658,861
408,800
1934,826
102,1047
2082,1058
2152,1180
1599,2002
1898,1204
2184,598
91,1251
2103,1150
2018,1357
2564,1361
2159,774
1884,901
2434,1122
2476,807
2490,929
2089,784
591,1016
1972,1077
2659,718
2117,939
2744,1385
317,1051
348,807
2268,1129
2321,1164
2152,1058
1782,1108
521,920
91,878
2004,950
2832,861
2515,1389
155,925
2374,1350
2117,864
1912,976
2885,934
324,882
126,1155
2730,774
2437,1246
2455,1000
398,1016
447,861
359,838
31,1279
2215,1138
2589,1314
2589,1242
2018,690
2959,988
24,1425
1941,1242
59,1385
2293,1096
250,840
2952,1054
2673,807
419,835
2673,1272
2177,704
2804,824
2913,1014
42,1209
197,807
2124,833
49,1141
2843,910
2184,1220
3047,1159
3012,1112
1638,1986
2148,896
2392,960
2543,1143
1726,962
1976,903
429,1237
2564,915
2737,838
2881,1098
2427,910
2659,1115
2230,1070
2610,1411
2353,1126
507,798
2018,1314
2455,1173
1979,1286
1726,817
2082,819
2244,643
1983,1199
38,1087
1814,976
1976,1333
2110,1026
2631,864
2511,1657
2684,1333
2909,974
3019,950
28,1469
2208,894
2751,1173
567,861
465,1000
2120,645
2416,1044
1976,671
169,1439
3005,1000
2332,969
63,939
556,751
38,1347
2857,833
2927,882
2050,1265
2811,1298
176,1251
422,913
426,1148
711,997
2754,1037
2342,692
2363,1284
1990,734
2275,962
2832,1117
2043,1173
2518,1274
2473,1326
2247,772
