x,y
1910,1057
1920,1001
1783,925
2016,1090
1446,578
1391,717
1374,836
1773,892
927,109
1853,812
1299,401
1979,1220
1557,784
1691,1012
1810,895
1533,981
2192,1252
1056,318
1627,1047
2054,1161
1902,1032
1227,498
2180,1166
1525,1026
1520,796
1952,1250
1815,953
1657,905
1639,1189
1890,1216
1694,951
1801,1130
1743,913
1575,1049
1401,675
1364,489
1056,285
2004,1214
2009,1194
1168,384
2125,1140
2158,1108
1570,1219
828,74
1565,1120
1605,943
2011,1159
1736,976
1664,1030
2188,1126
1662,1118
1039,244
1374,631
1810,915
1396,864
1416,646
1329,766
1706,1125
1017,279
1979,1055
1897,1197
1897,1239
1267,528
1944,1230
994,221
1086,304
1319,811
1560,1004
1647,1093
1863,989
1805,1054
1607,1116
1845,885
2391,1257
1649,956
1101,330
1245,363
1339,583
1835,1204
1853,933
2034,1062
1939,1191
1820,930
1853,849
1962,1123
1562,1174
1714,1067
1108,257
1875,1011
1267,464
1865,1060
1895,1090
2088,1174
2016,1027
1689,855
2121,1082
1148,297
2088,1118
1466,893
1949,936
1855,1103
843,64
1146,328
1443,941
831,38
2175,1202
1691,979
1691,920
1796,1207
2096,1064
1917,971
870,67
1270,411
1285,497
1595,1007
2138,1171
1394,565
1510,821
1066,353
863,109
1051,214
1632,991
1644,1072
1322,518
1426,725
1188,469
1540,907
1366,606
1820,1083
1751,817
1433,532
1872,1166
1860,1187
2001,1125
1793,1026
1838,1030
1664,999
1567,802
1974,1103
1667,1057
1019,305
1436,864
1768,989
1791,859
1776,1006
1761,788
1471,1022
2113,1209
1939,1070
1972,1151
1746,1187
1721,883
1414,822
1394,903
1910,1263
1627,882
1972,1174
1220,389
1595,913
2254,1186
1689,1059
1590,1083
1374,941
2225,1211
1495,1055
962,190
1987,981
1148,429
1294,796
1729,1004
1962,1035
1860,1219
2051,1197
1617,1237
1151,355
1332,454
1818,1002
1485,926
1786,971
1113,383
2063,1093
1984,1196
1982,1082
1414,756
1830,976
1736,1098
1200,421
1528,948
1813,1171
1672,515
1910,877
1751,1032
1587,971
2398,1234
1540,837
1771,945
1590,867
1917,1174
1530,1075
1877,954
1865,908
1585,1199
1679,1230
1406,786
1478,978
1289,561
1111,285
917,152
1972,1004
1317,477
1240,441
1937,1212
1843,1234
1416,978
1944,847
1535,869
1587,837
1734,1153
2217,1159
898,97
1711,1034
1962,1202
1977,1239
1557,817
1411,609
1366,798
1763,1068
1867,1131
1609,688
1580,1151
1406,495
1059,264
1356,538
1907,1153
1538,1100
1741,845
1480,679
1208,343
1659,1159
1342,832
1902,918
2036,1120
1734,948
1927,1133
1411,1004
1619,1024
1530,1123
