x,y
2384,2371
1320,1621
2665,1435
1631,2228
4568,1788
1335,1931
1260,1364
4478,2458
2926,2839
1812,1839
1711,1804
2394,1808
2068,1835
3243,2046
1827,1716
1972,2228
2841,1820
1762,2026
1300,1705
4166,2379
1541,1919
1169,2133
1571,1752
2023,1978
2741,1938
3027,1907
2213,1387
5085,1986
2981,1653
1606,2165
1998,1356
2655,1356
1496,1728
1877,1633
2510,1633
1219,2200
1907,1919
4367,2466
2751,2343
2560,2272
2821,1990
1285,1796
1792,2256
2218,2117
4693,2347
4794,2034
1014,1871
2008,2327
3303,2410
2510,1447
1626,2069
3107,1831
4834,1855
953,2244
1892,1594
1380,2053
2479,2394
4548,2367
1802,1344
2836,1633
3122,1701
4749,2085
2936,1962
2680,2165
1285,2125
2113,1709
2334,1732
2630,1399
1415,511
1892,1403
1631,1879
5050,2355
1380,1736
4658,2022
4503,1998
2926,1851
4598,2442
1365,2188
2143,1954
4990,1966
933,1843
1490,2077
1380,1673
2630,2355
2454,1883
5220,1126
1902,1760
2685,1463
3072,1744
2715,2228
3167,1915
1395,2383
4462,1863
4959,1808
2158,1387
2259,1609
2088,1356
1365,1796
1174,2347
2088,2256
2038,1685
4498,2283
1124,1796
4648,2280
2836,2327
4708,2490
2931,2165
4387,2363
918,1784
2148,2363
3192,1657
2796,2276
2781,1720
2670,1665
1957,2101
2454,1379
2163,1649
1270,1855
1661,2276
2023,1768
1501,2291
788,2204
1385,1613
2781,2184
2640,1780
1982,1712
2294,2331
1199,1764
1932,1831
2053,2101
3157,1772
1752,1732
1506,1193
2183,2018
2349,1665
1295,2343
4884,2010
2208,1570
4508,2517
1882,1677
1159,2061
2570,1368
2545,2065
2354,1994
5070,2061
2741,1403
1124,1871
1767,1415
2550,1411
1877,2180
1802,1776
1104,1701
2349,1427
2434,2137
2675,2299
2736,1816
1395,2280
2600,1927
4593,1950
4442,2410
1807,1946
1526,2379
3027,1788
1757,2394
1079,2287
2971,2057
2269,1796
3227,1824
4267,2367
1716,2327
4734,1950
5075,1911
1541,2002
1812,2367
4392,2541
3288,1903
4262,2470
1586,1820
4483,2085
2319,2232
1465,1411
1947,2363
1752,2141
4718,2557
4573,1863
5065,2133
1877,2319
4493,2180
1661,1705
1435,1879
4723,2430
953,2097
4980,2196
2459,1724
4914,2101
2530,1804
2730,2077
3047,2307
4327,2414
1982,1907
4593,2529
5145,2129
2003,1617
1716,1883
1199,2268
4176,2450
2560,1641
2444,1601
2118,2149
4754,1827
2966,1740
4613,2232
2550,2363
1209,1970
1596,1629
3268,1748
3278,2204
2168,1756
1019,1780
3127,1990
1621,2339
2143,1855
