x,y
1475,1457
2352,1627
1317,1226
2033,1581
1111,1496
979,1734
1313,1297
1163,1503
1159,1144
2121,1617
1192,1552
1247,1656
1728,2373
1489,1597
1713,1558
1038,1786
1622,1242
1394,1327
1522,1389
2322,1669
2077,1584
2440,2546
1368,1265
1438,1235
2462,2569
1045,1330
1765,1561
1218,1265
1247,1294
1056,1526
1295,1170
1482,1356
2304,1568
1126,1434
2429,1630
1992,1597
1563,1682
1467,1418
2003,1969
1996,1565
1067,1451
943,1460
2238,1663
1394,1415
1724,1607
1959,1584
1794,1650
1559,1333
1702,2341
2216,1565
1302,1666
1805,1265
1387,1692
2289,1623
994,1327
1126,2543
1500,1650
1295,1731
1214,1496
1148,1294
979,1366
943,1548
1710,1291
2319,2566
2007,1535
2011,1724
2047,1741
1970,1702
1372,1500
1089,1594
1185,1167
1144,1226
1078,1382
2411,2556
1985,1757
1581,1584
1115,1336
1757,1692
1607,1301
1658,1578
1566,1395
939,1500
1255,1457
2051,1633
1409,1522
2091,1545
939,1411
1174,1444
1258,1226
895,1421
1688,1200
1181,1229
1111,1248
1926,1676
2055,1679
1233,2018
994,1177
1952,1777
1849,1650
994,1294
1097,2250
1776,1731
2146,1558
1559,1496
1500,1288
1467,1711
858,1421
1688,1692
1049,1232
1302,1467
1240,1597
1361,1542
1588,1144
1060,1173
1699,1359
766,1434
895,1372
1295,1398
1192,1340
1031,1724
1273,1340
2194,1623
2154,1679
1207,1702
1001,1500
983,1438
1324,1591
1952,1542
1177,1265
2293,2729
2088,1500
1904,1516
1515,1193
1713,2396
1856,1702
1064,1744
1607,1780
2047,1545
1977,1630
1130,1177
1166,1392
1816,1588
1735,1643
825,1633
1607,1379
1093,1281
1012,1395
1211,1200
825,1402
1981,1496
1266,1555
1214,1441
1031,1760
1431,1382
1049,1288
1992,1669
844,1539
888,1323
2414,2520
987,1692
888,1473
1343,1438
935,1330
1236,1389
1724,1144
1317,1529
1636,1636
1908,1636
917,1692
2018,1607
1904,1591
1350,1363
1379,1183
1625,1721
1475,1506
1042,1695
1401,1575
1093,1206
