x,y
1993,2089
2063,2236
5075,2042
1586,1958
5140,2125
2344,1431
1987,1946
1049,2280
1345,1812
2816,2030
1762,2018
1676,2327
4513,1883
1962,2216
1541,1927
2660,1411
4784,2026
3097,1697
4412,2545
2600,2065
3177,1954
1596,1800
2399,1669
1757,1879
953,2093
788,2192
4272,2359
3288,1915
1777,2141
2429,2339
2344,1978
4578,1812
5040,2089
3007,1958
1079,1800
2725,2137
2987,1740
1194,1760
1350,1613
2414,1383
2213,1966
4563,2402
2249,1705
2434,1601
1827,2248
948,1796
2921,1808
4493,2212
1817,1411
4332,2502
4985,2228
1305,1705
3248,2101
1335,2379
1972,1348
4226,2466
1516,1760
2921,1923
1546,1887
2093,1681
1566,1669
1511,1716
4749,1883
4633,2458
2133,2264
2565,1427
2479,1736
2720,2256
1385,1748
2334,2053
2143,1927
1154,1887
2404,1895
2836,1867
3273,1732
4518,2323
1395,356
2023,1391
2339,1720
4503,2053
2334,2268
3012,1903
2720,1427
4292,2426
1305,1970
3172,1879
2279,2371
1917,1867
4673,2525
2966,1649
2143,2121
1460,749
1606,1597
3082,1879
2148,2303
2495,1407
1561,1431
1581,2295
2675,1768
4372,2367
1445,1407
4171,2394
4648,2276
4593,1942
773,2232
4739,2557
2203,1744
2625,1360
1139,3600
1998,1641
1691,1705
3263,1808
2008,1788
4723,2438
2068,2157
1767,1431
2123,1875
3142,1800
2143,2367
4708,1982
2976,2053
1767,2303
2841,2827
1782,1736
818,2165
1350,1344
1691,2371
1912,2153
1526,1978
1892,1371
2590,1808
5065,2363
2590,1395
1792,1324
2279,1812
4688,2061
2123,1986
1782,2387
1345,2172
2484,2042
2625,1911
1872,1669
1245,1375
1094,1705
2218,2077
3212,1788
1676,2260
1209,2232
5125,2077
1465,1863
2826,1736
2756,1403
1696,1756
2198,1594
3187,1665
1305,2307
3303,2402
2469,2398
4457,2454
2158,1812
1400,1665
1546,1831
1611,1752
2228,2010
1787,1371
923,2244
1696,1824
1636,2196
1646,1903
2053,2363
1947,2343
1029,1871
1656,1784
2484,2161
1576,2018
2525,1459
2073,1839
1184,2343
2484,1835
4367,2434
2730,1919
3182,2268
2956,2192
1255,1855
4859,2089
4904,2014
1626,1697
1521,2367
4442,1847
1199,1348
2705,1665
2244,2161
2811,2323
2665,1467
1415,2327
1852,2343
2474,1978
2685,1356
4889,1931
2113,2046
2103,1752
2595,2323
1982,2276
2063,1336
1897,1427
1420,2394
2213,1379
3072,1756
1807,1812
2625,1685
1681,1665
1410,2061
1219,2121
4964,2137
1596,2105
2379,1796
3042,1835
4809,1827
2289,1625
2826,1633
1917,1760
2520,1625
2761,1800
1385,1915
2515,1356
4432,2387
3127,2010
1164,2022
2143,1387
983,2224
4990,1780
4543,2517
1445,2256
5085,1938
