x,y
1493,1157
1655,1167
1974,2223
2242,1408
1519,1457
2216,1878
2418,1790
1783,1314
1144,1956
1486,1604
2524,1271
3203,1800
1955,1252
2212,1803
2143,2748
2121,1917
1856,1907
2231,1552
1603,2311
2293,2191
2686,2396
2447,2250
3372,1829
2073,1796
2598,1940
2333,1783
2172,1923
1721,1353
2377,2758
1339,1229
1596,1369
1985,1751
2759,1959
1732,1522
1776,1222
1658,2230
2227,1907
2704,1343
1544,1369
2077,1868
1489,2025
3056,2302
1460,1659
1963,1343
1592,1633
1944,1183
2146,2021
2377,1239
1750,1428
1647,1473
1765,1901
2557,1881
2444,2197
1919,2367
1845,1408
2561,2347
1790,2217
2190,1480
2106,1222
2011,1561
2565,2158
1897,1314
1948,1294
1423,1728
1834,1522
3354,1897
1754,1154
2275,1519
2612,1865
1966,2298
2524,1767
3155,1901
1166,2263
1838,2328
2062,1950
2366,2722
2099,1111
2003,1816
2297,1888
3012,1783
1522,1695
2359,1936
1944,1959
1845,1336
1706,1933
1699,1275
2003,1239
2146,2266
2077,1493
2730,1914
2598,1291
1963,1457
2352,1415
2319,2002
3009,1901
1321,1275
1871,1115
1988,1901
1266,1933
2253,1992
2851,1976
1911,1389
2022,1288
1761,2289
2491,1832
2590,2220
3203,1959
1944,1532
1387,2263
2510,2302
2788,1363
1188,1552
1640,1297
1658,1395
2168,1855
2664,1284
1299,2677
2377,2135
1614,1222
1401,1460
1702,1209
1662,1884
2330,2748
1427,1209
1372,1992
3093,1744
1387,1261
1570,1558
1842,2585
3291,1816
1166,2015
1211,1972
2796,2373
1655,1835
2539,1333
1666,1780
1548,1855
2638,2295
1900,1235
1985,1408
1453,2292
2341,2775
1577,1914
2275,1193
1442,1783
1445,1891
2444,1291
2671,1894
2451,2354
2080,1408
2007,1692
1412,1350
1603,1317
1152,1813
2928,1936
3262,1910
1207,1692
2730,1845
1071,2263
3093,1842
1743,2217
1354,2328
1563,1177
2583,2047
1867,2263
2161,1395
2385,2272
1706,2005
1930,1659
2216,1258
1592,2002
2234,1943
2458,1411
2418,1177
2653,2008
2447,2126
1842,1252
2370,1858
2781,1261
1882,1790
1636,1548
2744,2315
1471,1255
2590,1353
2741,1780
2051,1330
1695,1591
2495,2259
2598,1800
1732,1640
1856,1659
2036,1180
2623,1503
2124,1304
2304,1464
2179,2165
2300,2295
1801,1594
2245,1855
1486,2204
1765,1845
1335,1897
2675,1953
1566,1297
2803,1858
1310,2263
1996,1861
2029,1372
1497,1526
2733,2002
1533,2269
2011,1985
1842,1464
1644,1959
2444,1923
2187,2794
2755,1297
2829,1920
1680,2634
1783,1708
1600,2054
2880,1728
2513,1953
1027,2315
2293,1330
2543,2233
2374,1314
1922,1865
1544,1239
2157,1822
3148,1764
2469,1239
2664,1832
2895,1822
