x,y
1430,709
829,412
1245,617
989,322
1456,617
1541,457
1883,659
1662,293
898,447
1801,356
1056,423
1342,456
1905,437
1606,686
871,415
1544,630
1713,648
1706,757
1222,409
1379,266
1180,599
887,429
931,260
1053,301
1146,468
1775,660
1465,481
1021,295
1477,605
1382,669
1881,483
1354,482
1312,338
1211,154
1428,326
1557,349
1625,500
1134,401
1055,324
1666,672
1650,478
769,251
1706,463
1268,328
1807,705
1875,334
1507,294
1810,613
819,261
748,288
1546,432
1812,496
923,421
1292,408
974,413
1773,332
1532,318
1742,613
857,378
1111,328
1324,650
1090,312
1691,360
1497,352
1578,605
1481,439
1210,322
1259,571
1631,764
1403,725
1173,474
1217,436
1111,448
1358,305
1842,717
1847,407
1005,421
1904,650
1863,679
1662,503
1809,649
1150,436
1879,702
1671,767
1687,738
1890,453
1037,487
1481,629
1624,481
1488,496
834,278
1030,407
996,439
1491,721
1433,293
1809,455
1252,463
731,292
1041,279
708,226
1780,463
1673,325
1576,817
1719,741
1576,764
1342,664
1710,692
1597,707
1814,741
1395,299
1208,624
1033,423
672,237
1639,351
1576,730
1060,383
1620,457
1819,329
771,282
1363,721
1713,718
1819,670
1706,481
746,248
1078,442
1789,486
1710,624
1030,468
1840,345
1594,397
1576,623
1033,392
1449,356
1678,702
1840,630
1565,672
1601,576
845,294
1181,420
1130,420
1652,642
1144,307
1097,393
1086,288
1046,446
1511,451
1671,622
1548,478
1014,312
1592,343
1821,305
1396,480
1319,682
1726,314
785,261
995,372
977,305
1534,338
1474,463
1419,613
866,270
1710,498
1509,480
1224,300
1541,609
1837,473
1856,652
757,227
1120,387
958,437
1904,496
1086,426
1511,682
1536,724
1648,686
1576,459
1676,723
1780,306
1428,682
1898,733
1602,790
1565,327
1617,292
1356,420
1592,838
1565,297
1719,450
1294,480
1213,604
1065,401
930,448
1188,340
1093,487
1749,462
797,284
1745,643
1884,756
792,237
1382,642
1622,710
1261,649
910,389
1373,705
956,284
1016,449
759,270
796,369
1166,325
938,305
1821,766
1507,645
1904,671
1691,800
970,461
1676,486
873,396
1904,712
794,297
1065,467
1629,621
1308,636
1615,368
1650,711
1088,407
988,267
1622,656
1321,434
1777,632
1217,469
1528,354
1412,268
1863,496
1470,305
1849,311
1206,581
1858,324
1777,686
1093,470
1537,589
1560,700
1437,633
1900,369
1574,304
1250,400
1868,466
1883,611
1349,636
1897,686
1447,595
1831,369
1860,757
1292,457
1463,676
1127,289
1375,245
1904,347
1879,353
1417,653
1592,748
1613,670
1675,653
1874,720
852,397
1784,725
820,388
1002,468
1838,297
1509,619
840,430
1888,311
1838,392
1861,738
1541,653
1580,367
1564,779
908,405
1558,361
1747,727
996,394
1590,313
1592,497
956,325
1895,630
1463,714
1622,733
1506,599
1902,469
1520,201
1884,520
1609,606
940,397
722,251
1849,697
699,266
886,390
517,204
1335,349
1354,683
886,284
1618,324
1174,402
1386,442
1187,448
829,252
1305,609
1106,419
1132,367
1254,432
1019,331
991,288
910,294
1824,686
1240,590
1764,189
1595,481
1432,432
1488,331
1275,603
664,254
669,272
1261,308
931,232
868,447
1868,374
1884,435
1900,324
1400,244
1659,462
1858,450
1338,324
1183,289
519,220
1470,650
1652,738
882,245
1322,480
1122,473
1146,385
1425,579
803,268
1738,670
1587,644
1382,333
1687,635
1703,667
1285,437
1763,501
1425,464
1620,636
1833,508
783,397
1602,590
1402,690
1745,700
1562,797
732,274
1749,478
1270,630
1757,358
1856,360
1292,623
1555,372
