x,y
1270,388
1086,323
2009,997
1151,394
1364,469
1389,913
1476,1065
1731,1080
1634,916
1843,1017
1820,1209
1188,368
2140,1087
1932,1288
1815,1087
1882,893
1299,426
1577,908
1476,692
1567,1182
1597,487
1590,1097
1592,984
1768,1130
1992,1174
1949,1189
1409,741
1724,956
1679,1184
952,185
1282,809
1768,541
1421,522
1473,895
1870,1044
1307,827
1684,869
2227,1287
1220,388
1746,789
1741,817
2031,1186
1344,847
1964,935
1714,860
1808,1229
1190,411
940,150
1200,335
917,122
2237,1235
1577,1072
1421,988
1359,626
1701,1060
1265,421
1706,834
1875,1207
1798,1156
1813,827
2170,1140
1664,1052
1366,943
1044,302
1927,1214
2170,1257
1577,1214
1897,1017
2093,1078
1838,966
1892,1237
873,115
1982,1113
1356,598
1443,581
1719,1207
1729,1136
1766,831
1820,997
2202,1116
2056,1088
898,84
1411,865
1614,1265
1654,992
1533,872
1614,882
2195,1154
1237,355
1778,850
2088,1234
1148,418
1925,912
1788,807
2232,1189
1084,356
1342,784
1667,892
920,185
1823,1047
1773,935
1939,958
1649,1135
2116,1110
1791,905
2168,1207
1731,1039
1614,1055
1401,781
1525,1021
1361,507
1828,890
883,147
1329,814
1438,1022
1565,1130
2091,1097
1870,834
1711,1111
1853,1128
1644,958
1024,241
1771,958
1681,1149
1890,956
1223,497
1967,1144
1756,1171
1297,396
1409,1019
1069,228
2026,1057
1783,558
1041,123
1781,1022
989,188
1972,1073
2009,1222
1691,971
1609,1123
1954,865
1867,1149
1022,275
1600,847
1389,677
1835,913
2123,1158
1756,989
1136,318
1907,1275
1468,1001
1887,1002
925,166
907,145
2068,1163
1773,1199
1848,862
1428,908
1009,211
1478,974
2019,1093
1969,1245
1748,543
1937,986
1815,1121
2078,1199
1473,1030
2036,1138
1848,1189
1863,811
1111,391
1600,943
1840,1168
1312,470
1746,920
1394,647
1659,1093
1967,1021
1136,441
1280,447
1304,796
1565,819
1545,1052
1530,916
1250,520
1805,930
1858,1078
1292,515
843,82
2403,1258
1972,979
1721,806
1632,1021
1652,1216
1791,786
1381,563
1858,988
2066,1118
2150,1118
1612,695
1902,1169
1237,459
1617,1168
1525,812
1041,340
2021,1029
1575,864
1796,984
1369,829
1423,665
1937,1055
1766,887
1850,933
1706,1011
1418,705
1771,1097
1676,1260
1312,586
1227,424
1267,556
1200,454
826,39
1575,1019
1493,941
950,203
1942,1007
1173,444
1409,814
2125,1212
1146,358
1391,1001
1523,1088
1503,1045
1738,875
1188,480
1267,482
1897,979
1853,1245
969,214
1801,1182
1103,269
1801,869
1895,1118
1252,398
1384,969
1773,1059
1327,535
1595,1239
1448,943
1895,859
1520,1116
1736,845
1813,951
1681,931
1386,703
2150,1070
1721,1163
1404,612
1758,1224
1550,959
1910,1039
1493,670
1907,1083
1523,991
1711,905
1324,560
1880,936
