x,y
1561,2260
381,2264
1460,2200
2449,2057
1601,2280
2710,2371
2239,2050
2309,1879
2590,1875
45,2323
2374,2014
2078,1800
2841,2498
1787,2414
2746,2402
2133,2089
1998,2486
2233,2319
1490,2208
2208,2410
2389,2446
2143,2490
1892,2287
2314,2228
1601,2252
2600,1998
2766,2153
2736,2640
2746,2474
2153,2375
2941,2220
2495,2006
2846,2220
4312,186
145,2339
1561,2367
2429,2644
2239,2172
2555,2034
2545,2494
2685,2006
2484,1911
316,2280
1716,2228
2309,3013
2479,1958
2244,2394
1701,2117
1470,2236
130,2224
2505,1855
2796,2406
1972,2307
2515,2565
1521,2248
2806,2184
2018,2093
1731,2291
1977,2248
2931,2490
1711,2038
2294,2391
2103,2331
2233,1938
2329,2157
1837,2002
2264,1970
1897,2335
2153,2014
35,2513
1681,1919
2264,2145
2309,2188
2173,2676
2198,1843
2630,2256
1932,2513
2811,2240
2173,1966
2299,2121
2746,2085
2730,2117
2339,2708
2841,2272
1671,2157
90,2026
2173,2149
2841,3100
1752,2331
2198,2521
2836,2438
1882,2089
1475,2050
1621,2105
2680,2093
1957,2434
1797,1879
1847,2466
1937,2014
2128,2046
2093,1927
2359,1954
2083,2030
2158,2212
2715,2149
2685,2545
2043,1891
2299,2268
1526,2208
1957,2077
2550,1938
2259,2371
2183,2565
2249,2601
1616,1911
1842,2537
2198,2196
2188,2438
2464,2597
2123,1962
1897,2402
2580,2617
2424,1970
2123,2145
2118,2450
195,2264
2570,2712
2028,2034
2239,2006
140,1978
2013,2402
2228,2232
2374,2137
1752,2577
1696,2482
2645,2050
2931,2446
2560,2545
2530,2085
60,2192
2791,3116
2439,2525
2630,2545
2680,2700
2941,2172
2961,2363
2349,2549
2344,2050
2198,2002
2444,2153
2736,2323
1531,2093
2244,2458
2203,2101
2078,2379
2881,2474
2279,2038
2128,2260
2635,2315
2891,2256
2746,2042
1847,2351
1475,2168
2530,2347
2635,1954
2399,2569
2259,2430
1696,2533
1641,2236
2138,2585
2244,2280
2806,3069
2289,2430
1962,2141
2836,2101
2454,1875
1420,2168
1937,2264
1807,2081
1762,2057
2786,2664
2153,2621
2846,2303
115,2137
2911,2391
1967,2359
1892,1938
1907,2157
2640,2498
2439,2728
2710,2502
1536,2157
2344,2617
2018,2272
2535,2652
1576,2053
2369,2394
2434,2117
1591,2224
2188,2053
2133,2533
2284,2644
2043,2319
2781,2347
2103,2200
1430,2204
1536,1998
2128,2418
1802,2172
200,2121
200,2196
2274,2553
2203,2640
2294,2002
2610,2442
1561,2200
1972,1796
1496,2402
1606,2161
2500,2391
2675,2609
1742,2188
2520,2438
1646,2204
2841,2383
2043,1970
2901,2224
2379,2498
2168,2311
1676,2264
2279,2494
