x,y
3790,525
1539,413
2145,500
1490,936
1331,352
1934,335
3512,347
1011,981
1588,483
3811,98
2025,345
1250,979
3508,284
1831,532
3639,493
1018,918
1831,612
1486,802
1539,986
2166,432
1430,309
1307,1096
1884,579
1056,1049
1722,1512
3653,185
1250,356
1726,547
1997,589
1282,678
3635,328
1863,669
3790,129
1733,469
1564,1054
3582,443
2022,509
1423,751
1254,793
1483,1105
1264,730
1123,1136
859,953
1162,1054
3501,439
2039,410
972,1077
3568,493
1870,814
1370,446
1486,1047
1631,309
1328,934
3702,525
1328,845
1159,929
1867,403
3797,429
915,993
1842,727
3787,180
3670,434
1282,1035
1405,516
1402,903
1821,220
3794,478
3773,316
1102,979
1271,849
1296,586
1609,558
3737,382
3699,666
3716,478
1969,439
1740,354
1395,1007
1310,777
873,1051
