x,y
2278,1209
1787,2129
2572,2064
1666,1728
1937,1252
1772,1310
2297,1268
1809,2550
2414,1989
2601,2158
1955,1170
2642,1813
1324,1183
2073,1092
1878,1402
1489,1806
2770,1724
2374,1861
2088,1160
1159,1793
2289,1679
1801,1229
2693,2165
2245,1875
3302,1650
2146,1910
2377,1098
2829,1744
2352,1242
2022,1180
1060,2298
2645,1708
2355,1183
2561,1695
2913,1646
2880,1809
2671,1650
1985,1607
1328,1920
1970,1493
1933,1307
3229,1734
1893,1151
2704,1786
2036,1861
2359,1314
1886,1278
2161,1816
1537,1503
2447,1323
2381,1627
1269,1242
2847,1584
2436,1786
2055,1773
2069,1402
1860,1532
1853,1343
1871,2259
1713,1803
1882,2158
1930,2204
1710,1164
2201,1102
1398,1976
2154,2181
1992,1245
1823,1653
3200,1643
1056,2223
2190,1294
2616,2106
1849,1023
2176,1333
1596,1982
1409,1480
2513,1216
2818,1813
2825,867
1460,1568
1383,1927
1398,1239
2891,1702
1148,1728
2774,2142
2818,2201
2987,1669
2135,1268
2209,1200
3001,1604
1644,1444
2480,2230
2833,1669
2242,1770
1776,1173
1732,1878
2183,1444
1647,1933
1702,1405
2521,2109
1794,1379
1706,1493
1464,1473
1519,2152
1765,1591
1915,1457
1622,1532
2135,1209
3097,1708
2000,1330
1636,1098
2921,1741
2359,2188
1735,1206
2414,1268
1218,2230
1834,1584
1963,2155
1897,1216
2366,1663
2150,1141
1688,2210
2708,2240
1577,2210
2766,1627
2425,1705
2513,1777
2587,2011
1387,1845
2278,1147
2234,1268
1563,1219
1500,1992
2711,1728
2297,1317
1823,1780
1721,1105
1992,1663
1974,975
1299,1496
2411,2070
1977,1108
3152,1734
2139,2064
1746,1261
1431,2210
1537,1125
3174,1793
1346,2569
2565,1809
1640,1356
2205,2106
1787,1490
1823,991
1412,2269
1603,1157
2308,1780
1996,1431
1721,1336
2293,1858
1515,1356
2062,1239
1948,2269
1662,1147
1526,1275
1317,1232
2022,2184
3097,1578
1629,2168
2326,2113
3023,1708
2366,1767
1699,1561
1177,1943
1548,1842
1831,1281
2763,1835
1640,1868
2576,2204
1511,1610
1834,2201
1838,1444
2286,2589
1783,1102
1875,1105
2444,1157
1673,1219
2322,1105
1574,1438
2007,2113
1820,1056
1772,1542
2583,1382
2594,1164
1284,1865
1581,1588
1192,1617
1166,1503
2774,1780
1941,1359
2355,1705
2168,1724
1416,1721
1779,2214
2234,2158
1746,1636
2073,1314
2491,1711
2411,1307
2755,1679
1842,1186
2429,2132
1658,1271
2000,1007
2044,1711
1607,2269
1442,1656
2785,2220
1387,1180
2689,1848
2638,1757
1284,1200
1966,1796
2656,1213
3060,2116
2469,1653
1489,1933
2557,1653
1467,1411
1390,1304
2557,2011
2293,2044
1897,1623
3328,1718
3111,1633
2491,2171
1985,2233
2987,1777
2473,1871
2242,1428
2201,1389
1603,1793
2249,1350
1757,1431
2590,1724
1900,1852
1588,1304
1897,2230
2480,2044
2726,1203
2132,1369
2315,1356
1695,2148
2517,1627
1456,1141
1908,1731
