x,y
459,806
1722,819
1152,831
986,746
1661,812
810,743
1393,820
954,781
644,802
1662,733
868,783
1643,764
662,772
768,763
1130,778
1476,726
1726,761
1595,752
588,808
1289,799
1233,866
1067,829
1238,828
1347,779
1206,793
1308,753
907,768
1511,829
1014,791
711,766
1590,795
773,799
1682,785
854,752
1254,759
1400,751
1312,724
436,798
908,802
692,795
1329,854
1763,790
915,740
1486,781
1646,997
1067,753
1433,774
616,767
1206,753
1144,733
1779,826
1833,754
419,824
824,800
732,811
701,834
736,743
1701,718
810,777
1615,838
1539,758
