x,y
1669,481
1403,358
1728,500
1766,576
549,370
1148,615
804,622
1033,645
1840,675
1775,311
1676,334
776,586
921,572
1687,571
1757,448
856,584
1606,451
1338,356
1897,807
1687,828
514,367
1868,286
1743,270
1484,360
1171,345
1810,482
1708,532
1220,461
1310,370
1532,631
1534,355
1245,721
1271,413
1879,473
1622,756
1479,331
1085,601
465,332
1844,645
871,644
1509,476
1215,424
1870,551
324,561
1872,867
1664,725
1858,805
1483,291
1506,758
502,594
227,544
812,558
1583,667
1874,517
1365,328
1835,576
1509,522
535,697
1541,421
1888,629
1809,804
1638,416
1824,910
1335,478
1798,848
1273,444
1314,302
1386,459
579,556
1270,481
1594,343
1373,387
1388,282
1691,878
616,598
1682,443
1317,804
1752,346
1550,306
1204,622
1208,394
1604,494
1264,636
870,616
1248,393
931,659
327,604
565,649
1439,481
1312,700
1141,658
1886,428
1086,658
1821,423
1752,804
195,592
1638,511
1167,415
1736,845
1622,707
1594,613
1349,510
466,689
301,520
1419,415
1701,304
1321,446
1742,1038
924,673
1560,477
1393,702
1432,797
1863,336
923,611
1356,421
1213,679
1713,366
1893,590
1655,542
498,626
1772,397
1312,400
951,632
507,550
442,585
1417,563
1521,258
72,540
1877,387
1484,407
35,579
1886,913
447,531
1460,446
1296,336
1180,368
22,622
302,861
1594,385
553,414
544,599
1495,680
375,636
1386,646
1800,536
382,547
1218,352
1606,568
1636,287
1558,718
262,579
1615,314
480,358
1717,478
17,534
671,541
1698,598
1705,403
1719,713
1268,669
1759,516
1580,530
1465,729
1365,540
82,579
1451,375
1682,766
1479,557
1426,516
1537,582
1423,318
1817,368
1336,665
1159,388
695,596
1639,835
1266,362
1648,366
1160,700
1011,588
503,405
1590,763
482,572
