x,y
2273,941
1811,1331
2096,1436
1931,1110
1698,1627
2078,1404
2435,1051
1675,1340
2156,1389
2089,1300
1826,1173
1878,1354
2032,1486
1939,1643
2168,1075
1762,1305
1657,1382
1999,1004
2100,871
2292,1223
2164,1467
1867,1324
1939,1312
1882,1084
2190,1173
2160,1126
1811,1413
1875,1054
1957,1373
2179,1216
1950,1481
2036,894
2284,1108
2123,943
2367,1418
1833,1288
1965,1068
2029,960
1657,1418
2044,1183
2412,969
1954,903
1999,1171
2239,1486
1893,906
2153,1249
1848,1117
2217,1265
1664,1458
2089,1089
1691,1408
2389,1333
2333,845
2250,1220
2002,903
2322,1310
2014,1244
1818,1089
2123,694
2104,730
2232,1328
1706,1293
1736,1340
2544,962
1939,1030
2322,1068
1920,1350
2329,1408
2476,1270
1788,1216
2374,1225
2187,1035
1754,1378
2232,1070
2115,1281
1912,1185
1724,1472
1612,1486
2145,1422
2213,960
2059,1331
2322,744
1799,1371
1878,1155
1781,1596
2141,1359
2093,1188
1954,1178
1833,1563
2427,1105
2119,1331
2239,1190
2235,1028
1807,906
1758,1418
2108,838
1954,1246
2074,953
2352,939
2337,1239
1905,1274
1987,1209
1732,1213
1792,1556
2111,1469
2145,1044
1950,1669
2280,1406
2247,1411
2089,1155
1642,1514
1807,1504
2341,1119
2048,1084
2115,1117
2123,1216
1991,1112
1848,1368
2126,990
2066,925
2126,1263
1969,953
2059,1119
2126,1185
2431,1011
2111,1070
2220,875
2228,1453
2209,1234
2333,1453
1935,871
2025,1580
1728,1605
2431,680
1841,864
2374,1077
1965,1420
2408,676
1619,1434
2172,1296
2269,1347
1976,859
2017,1533
2194,1406
2029,1434
2307,1166
1784,1054
2277,1051
1972,1620
2374,1272
2164,964
2356,1368
1886,856
2168,1004
2202,927
1743,1098
1694,1575
1852,1204
2363,1018
2235,1164
2427,1288
2284,995
2389,1192
2389,1136
2138,894
2423,1272
2299,1378
1837,1030
2412,697
2010,1082
1841,1246
2190,1148
2156,1178
1939,1608
2521,1023
2408,1166
2224,1427
2213,1375
2427,655
2235,1124
2476,988
2187,1439
2175,1195
2356,868
2044,856
2329,979
2220,997
2078,899
1713,1512
2258,974
2017,1366
2187,1488
1901,1218
2175,908
2078,1368
1758,1171
2066,1220
1781,1455
1852,889
2108,1512
1860,1610
2179,1335
2059,1263
1758,1258
1713,1385
1987,194
1860,997
1792,1129
2299,1267
2100,1030
2190,1101
1833,1615
1852,934
1916,939
2273,903
1954,1566
1871,1394
2247,1296
2307,1021
2032,1141
2138,1159
2123,1382
2217,842
2333,1197
2070,995
2446,1246
1717,1432
1954,1141
2036,1042
2280,1450
2002,1298
