x,y
1941,1144
2176,1105
2708,935
1677,1327
2488,1790
3064,1428
3445,1467
2165,1425
2825,1366
2080,1816
1596,981
1955,1206
2583,1379
2623,1063
2792,958
2018,1438
3001,1428
1805,1451
1412,1350
2106,1366
3372,1376
1860,1082
2678,1800
2253,955
1867,1741
3130,1411
2788,1483
1695,1535
2337,1369
2862,1513
2322,1711
1717,1666
1618,1470
2502,1509
2176,1770
1695,1692
1699,1402
2018,1379
2198,1353
2627,994
1996,1741
3291,1395
2954,1483
3155,1333
3247,1353
1581,1411
2543,1330
1809,815
1798,886
2447,873
3416,1425
2800,1813
2425,1500
1757,1695
1893,2028
1948,1764
2095,1275
1886,1340
2091,785
2187,1715
3306,1493
1460,1245
2135,1734
2737,1392
2150,1692
1655,1780
3280,1451
1853,1001
2565,1741
2777,909
2011,1790
2172,1160
2932,1389
2069,1751
2422,1105
2708,1711
2568,900
1710,1190
1357,1744
1721,834
2877,1793
2697,1835
2352,1470
2800,1901
1702,1059
2645,1676
3207,1438
2539,1653
1647,1291
2084,1434
2462,1356
1596,1519
2110,1046
2000,1268
2106,978
3266,1506
1915,1451
1768,1128
1574,1754
2642,926
2322,1565
2025,1708
1618,913
2139,886
1926,1069
1684,1734
2124,1490
2645,1754
2972,1304
3390,1441
1647,844
1959,886
2355,877
2275,1421
3042,1356
1768,1046
2715,1470
2033,945
2649,1428
2033,1098
1985,1030
2433,1669
1849,1154
2722,981
1541,2047
2458,1724
2910,1855
1787,1790
1827,1385
1966,821
1431,1483
1526,1134
2671,1343
2480,1431
2862,1444
3148,1783
3343,1473
2282,903
2594,1822
2293,1506
2539,1027
2458,1030
2315,2109
2319,1777
1739,1252
3075,1490
2220,1480
2033,821
1743,1747
1566,890
2348,1529
2198,766
2194,900
1710,932
1816,1731
2748,1111
1893,792
1812,1203
2568,1447
2000,2051
2880,965
1963,961
2231,1014
1930,808
2616,1500
2264,834
1702,1470
2502,948
2124,1790
3438,1389
2370,1421
2047,1186
1533,1454
3335,1425
2583,1584
2311,1620
2300,1095
2352,1030
2748,1770
2388,958
1878,851
2187,1275
1937,1689
1680,1118
1684,1255
1801,1535
1856,935
2069,890
