x,y
570,586
445,537
442,572
424,556
695,592
542,493
521,603
338,508
398,595
535,581
206,542
413,520
362,581
618,558
325,531
362,520
345,603
276,547
331,618
556,510
558,617
375,537
452,599
248,564
347,559
531,509
510,544
200,564
637,536
394,565
701,569
546,598
206,590
322,576
412,480
584,597
484,640
502,577
477,527
406,540
544,652
308,524
285,577
473,491
251,541
463,575
376,488
554,659
516,489
301,626
553,642
382,505
301,598
579,565
324,550
417,500
456,557
479,568
561,536
375,554
514,525
295,555
484,551
503,508
664,558
554,630
452,509
537,557
667,584
1166,645
348,535
463,588
232,543
417,578
