x,y
3163,1777
583,1767
1724,1868
1721,1464
1864,1646
1882,1777
1625,1816
3651,1790
1981,1594
3445,1806
1680,1695
1688,1633
1732,1561
2880,1773
3306,1790
2836,1786
1148,1617
2990,1783
1291,1809
2814,1617
2201,1503
1141,1835
1372,1604
1702,1503
1357,1780
902,1728
1559,1806
1427,1751
1673,1457
1504,1777
671,1757
1779,1500
2069,1496
1412,1633
3577,1783
1126,1790
1174,1809
1831,1509
2631,1620
2609,1597
3449,1764
2913,1751
3768,1972
2411,1858
792,1620
1467,1747
1313,1760
1820,1773
2172,1757
1985,1451
2121,1460
2543,1806
2458,1800
642,1806
2062,1460
1060,1757
877,1754
3332,1826
3012,1793
1757,1623
1159,1969
1277,1940
3607,1754
2568,1627
3688,1829
2242,1627
1622,1509
1247,1620
2377,1513
3089,1790
1820,1822
3354,1780
3060,1653
1012,2025
851,1800
2972,1627
2418,1744
1768,1813
1959,1669
979,1832
1644,1754
1732,1689
1398,1777
2311,1620
3288,1809
1629,1467
2051,1640
3203,1764
1067,1809
2121,1503
1508,1865
3104,1744
2612,1816
2124,1783
2491,1610
939,1790
1743,1516
2033,1770
2326,1786
2154,1705
3493,1809
3038,1760
2150,1826
2084,1685
3541,1813
777,1757
2535,1751
2726,1809
2532,1614
2099,1614
1559,1500
1365,1643
3724,1760
2201,1790
1427,1845
2187,1643
1952,1718
2022,1460
1900,1620
3023,1816
1900,1581
3056,1796
3508,1764
1827,1633
1772,1571
2084,1529
2033,1594
2499,1832
1882,1679
2935,1806
3152,1744
1805,1601
3119,1773
1453,1620
733,1786
1666,1506
2785,1809
3467,1734
2282,1513
1977,1747
1343,1617
800,1806
2143,1614
2084,1790
2047,1535
623,1770
2370,1773
1988,1702
2697,1760
3067,1747
2260,1819
3376,1943
1794,1653
899,1783
1574,1754
1533,1757
2488,1643
2484,1751
2447,1627
2392,1601
1787,1464
1871,1597
1544,1724
1966,1483
2884,1614
2352,1724
2414,1790
1218,1809
3394,1806
862,1731
2653,1822
2675,1786
2190,1875
2091,1826
2392,1643
1247,1786
2003,1822
2275,1920
3251,1777
2253,1751
822,1741
2766,1767
1834,1473
1240,1757
1383,1747
2014,1500
2587,1773
3405,1764
998,1777
3005,1744
2965,1767
2568,1839
2014,1672
1933,1506
2113,1584
2183,1610
1486,1816
1886,1493
2003,1539
2113,1646
2774,1607
2326,1839
2044,1809
1842,1601
1710,1591
1566,1623
1299,1623
2161,1496
715,1744
1688,1793
3611,1829
1941,1636
1933,1764
3376,1728
532,1773
1735,1764
2036,1698
1618,1623
